order,taxon,b,a,n,table,measure,table_source,length_units,mass_units,equation,fresh_to_dry_equation,location,life_stage
Trichoptera,Phryganeidae,2.811,0.0054,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Trichoptera,Polycentropodidae,2.705_0.174,0.0047_0.0024,2,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Trichoptera,Psychomyiidae,2.873,0.0039,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Trichoptera,Rhyacophilidae,2.48,0.0099,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Trichoptera,Sericostomatidae,2.741,0.0074,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Lepidoptera,Pyralidae,2.918,0.0033,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Athericidae,2.586,0.004,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Blephariceridae,3.292,0.0067,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Ceratopogonidae,2.469_0.213,0.0025_0.0011,3,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Chironomidae,2.617_0.067,0.0018_0.0004,17,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Empididae,2.546_0.110,0.0054_0.0012,2,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Sciaridae,2.091,0.0042,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Simuliidae,3.011_0.153,0.0020_0.0006,8,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Tabanidae,2.591,0.005,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Tipulidae,2.681_0.055,0.0029_0.0007,9,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Decapoda,Decapoda,3.626_0.084,0.0147_0.0030,9,Table_2,Carapace,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Amphipoda,Amphipoda,3.015_0.087,0.0058_0.0014,7,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Coleoptera,Coleoptera,2.910_0.117,0.0077_0.0021,9,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Trichoptera,Trichoptera,2.839_0.060,0.0056_0.0006,34,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Megaloptera,Megaloptera,2.838_0.053,0.0037_0.0006,7,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Ephemeroptera,Ephemeroptera,2.832_0.046,0.0071_0.0007,54,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Odonata,Odonata,2.792_0.052,0.0078_0.0009,18,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Plecoptera,Plecoptera,2.754_0.041,0.0094_0.0017,36,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Hemiptera,Hemiptera,2.734_0.068,0.0108_0.0032,4,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Diptera,Diptera,2.692_0.052,0.0025_0.0003,43,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
All Insects,All Insects,2.788_0.022,0.0064_0.0004,205,Table_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,larvae
Gastropoda,Gastropodae,3.05_0.04,0.02_0.002,61,Appendix_2,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Annelida,Lumbricidae,2.3225,-11.8423,,S4a,total_length,Barnes et al. 2014,mm,mg ash free dry mass,1000*exp(a + b * log(L)),FM = exp(.9282 + 1.0899 * log(DM)),,larvae
Araneae,Araneidae,2.923,-1.923,,S4a,clypeus to tip of spinnerets,Barnes et al. 2014,mm,mg fresh mass,exp(a + b * log(L)),FM = exp(.0111 + 1.0213 * log(DM)),,larvae
Ephemeroptera,Ephemeroptera,2.49_0.3,0.014_0.001,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Lepidopteraa,Lepidopteraa,2.69_0.87,0.012_0.02,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Odonata,Odonata,2.27_0.25,0.14_0.02,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Plecoptera,Plecoptera,1.69_0.18,0.26_0.15,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Trichoptera,Trichoptera,2.9_0.39,0.01_0.01,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Coleoptera_terrestrial,Coleoptera_terrestrial,2.64_0.06,0.04_0.14,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Homoptera,Homoptera,3.33_0.5,0.005_0.001,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Hymenoptera,Hymenoptera,1.56_0.4,0.56_0.64,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Orthoptera,Orthoptera,2.55_0.15,0.03_0.02,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Araneae,Araneae,2.74_0.11,0.05_0.01,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Microcoryphia,Microcoryphia,2.06_0.34,0.05_0.03,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Diptera,Diptera,2.26_0.33,0.04_0.04,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Brachycera,Brachycera,3.05_0.36,0.006_0.007,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Nematocera,Nematocera,1.57_0.2,0.1_0.06,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Aquatic composite,Aquatic composite,2.37_0.15,0.1_0.04,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
Terrestrial composite,Terrestrial composite,1.79_0.08,0.11_0.04,,Table_2,total_length,Sabo et al. 2002,mm,mg dry mass,aL^b,,,adult
